company	ERROR	crunchbaseURL	founders__name	founders__links__Custom	founders__links__Facebook	founders__links__LinkedIn	founders__links__Twitter
							https://twitter.com/eo_in
			Helena Domo			https://www.linkedin.com/in/helena-domo-895547b0/	
Ganaz		https://www.crunchbase.com/organization/ganaz	Hannah Freeman			https://www.linkedin.com/in/hannah-freeman-661881b/	
			Sri Artham			https://www.linkedin.com/in/sriartham/	
TypingDNA		https://www.crunchbase.com/organization/typingdna	Adrian Gheara				
			Cristian Tamas			https://www.linkedin.com/in/cristiantamas/	
			Raul Popa	http://www.raulpopa.com/			
						https://www.linkedin.com/in/raulpopa/	
							https://twitter.com/raulpopa
Rainway		https://www.crunchbase.com/organization/rainway	Andrew Sampson			https://www.linkedin.com/in/andrewmd5/	
							https://twitter.com/Andrewmd5
			Evan Banyash			https://www.linkedin.com/in/banyash/	
							https://twitter.com/frobthebuilder?lang=en
Educative		https://www.crunchbase.com/organization/educative	Fahim ul Haq			https://www.linkedin.com/in/fahimulhaq/	
							https://twitter.com/fahimulhaq
			Naeem ul Haq			https://www.linkedin.com/in/naeemulhaq/	
							https://twitter.com/_Naeemulhaq
Downstream		https://www.crunchbase.com/organization/downstream-5199	Connor Folley			https://www.linkedin.com/in/ctfolley	
			Salim Hamed			https://www.linkedin.com/in/salim-hamed-512902a/	
							https://twitter.com/salim_hamed
One Step Software		https://www.crunchbase.com/organization/one-step	Eva Hibnick		https://www.facebook.com/eva.hibnick		
						https://www.linkedin.com/in/ehibnick/	
BRIO Systems		https://www.crunchbase.com/organization/brio-systems	Boris Lipchin		https://www.facebook.com/blipchin		
						https://www.linkedin.com/in/blipchin	
							https://twitter.com/lenorin
			Thos Niles		http://www.facebook.com/thos.niles		
						http://www.linkedin.com/pub/thos-niles/0/151/400	
							http://twitter.com/boxofbacon
Trust & Will		https://www.crunchbase.com/organization/trustandwill	Brian Lamb			https://www.linkedin.com/in/brianlambco/	
			Cody Barbo	http://codybarbo.com/			
					http://www.facebook.com/codybarbo		
						http://www.linkedin.com/in/codybarbo	
							http://twitter.com/codybarbo
			Daniel Goldstein			http://linkedin.com/in/goldstein22	
							https://twitter.com/Goldstein222
